RxnID,MaxFlux
HEPK1,0.0420452047861196
HEPK2,0.0420451890362532
HEPT1,0.0420453400503772
HEPT2,0.0420451972570085
HEPT3,0.0420451981358452
HEPT4,0.0420451937193316
HEX1,55.6398266005469
HEX4,55.6398206301892
HEX7,55.6398325222964
HEXt2rpp,27.819915903764
HISTD,1.81239781907996
HISTP,1.81239756103283
HISabcpp,74.186442561374
HISt2rpp,74.1864203221782
HIStex,1.81239756149184
HMBS,0.329565217391305
HOMt2pp,3.15012094154705
HOMtex,3.15012023193756
HPPK2,6.69e-10
HPYRI,1000
HPYRP,55.6398255785388
HPYRRx,1000
HPYRRy,121.28
HSDy,13.1113122910878
HSK,13.1113134188081
HSST,1.39002433091124
HSTPT,1.81239787087455
HXAND,13.4755142624423
HXAtex,1.93529759284818
HXCT,55.6398269812379
HXPRT,27.8199077226786
HYPOE,55.6398250736985
HYXNtex,2.52781833222137
HYXNtpp,2.52781818902486
Htex,1000
I2FE2SR,2e-12
I2FE2SS,2.88e-10
